날짜,경제위기
2019-09-03,28.42757
2019-09-04,25.30338
2019-09-05,23.13452
2019-09-06,20.21688
2019-09-07,14.48489
2019-09-08,17.04105
2019-09-09,25.17428
2019-09-10,24.27059
2019-09-11,20.52672
2019-09-12,16.34391
2019-09-13,13.01316
2019-09-14,14.92383
2019-09-15,17.04105
2019-09-16,28.68577
2019-09-17,27.75626
2019-09-18,28.16937
2019-09-19,25.04518
2019-09-20,21.79189
2019-09-21,16.189
2019-09-22,19.57139
2019-09-23,28.27265
2019-09-24,27.52388
2019-09-25,27.00748
2019-09-26,26.46527
2019-09-27,22.66976
2019-09-28,18.56442
2019-09-29,20.63
2019-09-30,24.78698
2019-10-01,24.34805
2019-10-02,23.03124
2019-10-03,17.14433
2019-10-04,19.49393
2019-10-05,16.96359
2019-10-06,18.25458
2019-10-07,24.29641
2019-10-08,20.60418
2019-10-09,18.0222
2019-10-10,21.99845
2019-10-11,19.28737
2019-10-12,15.36276
2019-10-13,17.81564
2019-10-14,23.08288
2019-10-15,22.05009
2019-10-16,24.37387
2019-10-17,24.06403
2019-10-18,21.43041
2019-10-19,15.49186
2019-10-20,18.35786
2019-10-21,26.05215
2019-10-22,24.45132
2019-10-23,25.30338
2019-10-24,23.03124
2019-10-25,21.12057
2019-10-26,12.67751
2019-10-27,16.78285
2019-10-28,21.66279
2019-10-29,22.77304
2019-10-30,22.15336
2019-10-31,22.10172
2019-11-01,18.30622
2019-11-02,13.16808
2019-11-03,17.45416
2019-11-04,21.86935
2019-11-05,22.23082
2019-11-06,21.32713
2019-11-07,20.03614
2019-11-08,19.93286
2019-11-09,15.23366
2019-11-10,15.10457
2019-11-11,21.81771
2019-11-12,24.52878
2019-11-13,20.42344
2019-11-14,20.21688
2019-11-15,16.60211
2019-11-16,14.92383
2019-11-17,17.53162
2019-11-18,23.85747
2019-11-19,22.205
2019-11-20,21.14639
2019-11-21,20.63
2019-11-22,19.18409
2019-11-23,13.73612
2019-11-24,17.22179
2019-11-25,20.96565
2019-11-26,21.97263
2019-11-27,21.14639
2019-11-28,20.1136
2019-11-29,19.44229
2019-11-30,14.87219
2019-12-01,18.56442
2019-12-02,23.31525
2019-12-03,23.39271
2019-12-04,23.47017
2019-12-05,20.57836
2019-12-06,28.81487
2019-12-07,22.54066
2019-12-08,20.21688
2019-12-09,22.3341
2019-12-10,24.06403
2019-12-11,24.47714
2019-12-12,19.9845
2019-12-13,18.35786
2019-12-14,14.63981
2019-12-15,14.97547
2019-12-16,20.39762
2019-12-17,21.37877
2019-12-18,19.54557
2019-12-19,18.25458
2019-12-20,15.31112
2019-12-21,11.72217
2019-12-22,12.18693
2019-12-23,15.6726
2019-12-24,13.81358
2019-12-25,10.09553
2019-12-26,15.51768
2019-12-27,16.00826
2019-12-28,11.92873
2019-12-29,13.65866
2019-12-30,17.06687
2019-12-31,13.24554
2020-01-01,12.67751
2020-01-02,18.09966
2020-01-03,17.42835
2020-01-04,13.21972
2020-01-05,15.13038
