날짜,민주당,날짜,통합당,날짜,부동산정책
2020-08-12,2.40601,2020-08-12,0.65134,2020-08-12,6.71295
2020-08-13,2.30701,2020-08-13,1.24005,2020-08-13,6.61065
2020-08-14,2.44209,2020-08-14,1.21088,2020-08-14,6.03623
2020-08-15,3.01729,2020-08-15,0.84796,2020-08-15,6.45029
2020-08-16,3.00231,2020-08-16,1.02329,2020-08-16,5.46025
2020-08-17,2.67343,2020-08-17,1.52089,2020-08-17,6.1783
2020-08-18,2.65904,2020-08-18,1.90822,2020-08-18,6.12336
2020-08-19,2.68374,2020-08-19,2.09706,2020-08-19,6.21438
2020-08-20,2.48429,2020-08-20,1.80105,2020-08-20,6.19853
2020-08-21,2.77631,2020-08-21,1.54452,2020-08-21,6.78686
2020-08-22,2.17505,2020-08-22,1.0512,2020-08-22,6.95343
2020-08-23,2.03259,2020-08-23,1.03224,2020-08-23,5.92761
2020-08-24,3.04082,2020-08-24,1.18715,2020-08-24,6.72744
2020-08-25,2.48828,2020-08-25,1.00219,2020-08-25,13.47482
2020-08-26,2.98189,2020-08-26,0.93889,2020-08-26,6.38572
2020-08-27,3.30075,2020-08-27,1.07999,2020-08-27,6.10984
2020-08-28,3.80555,2020-08-28,1.10634,2020-08-28,5.55409
2020-08-29,4.37472,2020-08-29,1.19795,2020-08-29,5.45665
2020-08-30,2.64066,2020-08-30,0.88988,2020-08-30,5.31186
2020-08-31,3.67534,2020-08-31,14.03018,2020-08-31,6.13629
2020-09-01,2.9074,2020-09-01,1.38689,2020-09-01,5.96602
2020-09-02,5.79623,2020-09-02,1.81272,2020-09-02,5.84096
2020-09-03,5.1517,2020-09-03,1.88177,2020-09-03,5.70871
